agency	date	cost
Virginia Commonwealth University	2014-03-14	366393.485
Virginia Commonwealth University	2007-01-23	526273.33
Virginia Commonwealth University	2008-07-22	389387.075
Virginia Commonwealth University	2006-01-07	254374.202
Virginia Commonwealth University	2008-09-06	1632.38
Virginia Commonwealth University	2015-03-03	1072936.084
Virginia Commonwealth University	2007-08-15	254336.995
Virginia Commonwealth University	2011-06-05	221977.0578
Virginia Commonwealth University	2011-08-19	184909.68
Virginia Commonwealth University	2012-12-13	207113.498
Virginia Commonwealth University	2008-05-21	371063.967
Virginia Commonwealth University	2014-05-31	2692.57
Virginia Commonwealth University	2013-10-09	550618.998
Virginia Commonwealth University	2014-04-04	335135.71
Virginia Commonwealth University	2013-08-05	599333.99
Virginia Commonwealth University	2009-10-04	12329.3
Virginia Commonwealth University	2009-11-26	600
Virginia Commonwealth University	2009-03-07	378.9
Virginia Commonwealth University	2011-09-27	300082.692
Virginia Commonwealth University	2009-07-30	1860035.97
Virginia Commonwealth University	2004-03-26	3436.7
Virginia Commonwealth University	2011-03-19	45373.572
Virginia Commonwealth University	2009-05-01	2289151
Virginia Commonwealth University	2009-05-13	827518.472
Virginia Commonwealth University	2012-08-08	441897.02
Virginia Commonwealth University	2014-07-14	547137.139
Virginia Commonwealth University	2013-08-17	5240
Virginia Commonwealth University	2009-03-17	957492.7016
Virginia Commonwealth University	2011-04-28	621489.97
Virginia Commonwealth University	2013-11-22	453364.36
Virginia Commonwealth University	2008-07-23	1194968.365
Virginia Commonwealth University	2013-02-16	1522.2
Virginia Commonwealth University	2008-01-25	754900.1
Virginia Commonwealth University	2009-02-20	210850.52
Virginia Commonwealth University	2006-12-19	345052.47
Virginia Commonwealth University	2006-12-23	6011.65
Virginia Commonwealth University	2011-02-16	248154.793
Virginia Commonwealth University	2014-06-10	442770.954
Virginia Commonwealth University	2006-11-03	141810.09
Virginia Commonwealth University	2006-11-30	238960.37
Virginia Commonwealth University	2008-01-03	1733280.319
Virginia Commonwealth University	2010-01-29	682840.19
Virginia Commonwealth University	2009-04-02	1284249.4512
Virginia Commonwealth University	2012-03-14	595093.614
Virginia Commonwealth University	2009-01-15	275063.612
Virginia Commonwealth University	2009-07-18	840.03
Virginia Commonwealth University	2014-12-06	8768.38
Virginia Commonwealth University	2008-08-04	892726.65
Virginia Commonwealth University	2008-06-30	233411.47
Virginia Commonwealth University	2011-12-01	530272.72
Virginia Commonwealth University	2007-07-18	386642.37
Virginia Commonwealth University	2007-03-30	437698.17
Virginia Commonwealth University	2006-08-18	483574.12
Virginia Commonwealth University	2009-02-19	3712010.39
Virginia Commonwealth University	2007-06-26	498961.84
Virginia Commonwealth University	2013-02-22	386593.69
Virginia Commonwealth University	2007-02-01	241678.7796
Virginia Commonwealth University	2013-05-24	226731.2512
Virginia Commonwealth University	2007-08-31	588460.1004
Virginia Commonwealth University	2008-08-26	155788.78
Virginia Commonwealth University	2008-04-12	1466.34
Virginia Commonwealth University	2008-08-10	97.94
Virginia Commonwealth University	2011-03-09	378407.8789
Virginia Commonwealth University	2007-08-25	16040.3
Virginia Commonwealth University	2008-04-30	185263.316
Virginia Commonwealth University	2009-09-14	147239.42
Virginia Commonwealth University	2010-04-28	696410.36
Virginia Commonwealth University	2008-03-21	366869.99
Virginia Commonwealth University	2013-04-10	836454.689
Virginia Commonwealth University	2014-04-11	724693.67
Virginia Commonwealth University	2007-12-31	480
Virginia Commonwealth University	2011-11-03	940358.3858
Virginia Commonwealth University	2010-06-30	436143.606
Virginia Commonwealth University	2010-09-02	209500.2145
Virginia Commonwealth University	2006-10-27	106329.32
Virginia Commonwealth University	2009-05-18	182898.253
Virginia Commonwealth University	2011-05-12	186435.53
Virginia Commonwealth University	2007-07-06	283693.58
Virginia Commonwealth University	2005-09-03	346984.84
Virginia Commonwealth University	2013-11-03	1263.736
Virginia Commonwealth University	2013-12-09	362733.53
Virginia Commonwealth University	2008-04-17	3381322.796
Virginia Commonwealth University	2010-03-27	35905.166
Virginia Commonwealth University	2010-07-24	925
Virginia Commonwealth University	2008-09-17	392826.27
Virginia Commonwealth University	2005-11-12	122936.072
Virginia Commonwealth University	2011-08-03	605553.386
Virginia Commonwealth University	2012-05-31	981911.85
Virginia Commonwealth University	2013-06-05	319402.0659
Virginia Commonwealth University	2010-01-31	282623.447
Virginia Commonwealth University	2011-05-22	368249.933
Virginia Commonwealth University	2011-07-08	682961.2416
Virginia Commonwealth University	2006-04-19	388240.532
Virginia Commonwealth University	2013-03-17	8023.194
Virginia Commonwealth University	2005-12-09	208849.12
Virginia Commonwealth University	2014-02-16	80739.835
Virginia Commonwealth University	2010-10-20	149662.1532
Virginia Commonwealth University	2014-07-08	3960670.633
Virginia Commonwealth University	2010-11-18	450803.2332
Virginia Commonwealth University	2013-09-27	336939.93
Virginia Commonwealth University	2013-03-29	558043.84
Virginia Commonwealth University	2010-09-11	1150
Virginia Commonwealth University	2011-08-02	892080.16
Virginia Commonwealth University	2012-07-19	1669665.9246
Virginia Commonwealth University	2007-12-19	341885.26
Virginia Commonwealth University	2005-12-08	371795.03
Virginia Commonwealth University	2006-01-10	573623.96
Virginia Commonwealth University	2006-10-24	411344.73
Virginia Commonwealth University	2012-12-10	365864.995
Virginia Commonwealth University	2013-02-27	447198.7005
Virginia Commonwealth University	2011-03-25	427925.2
Virginia Commonwealth University	2007-11-27	446303.41
Virginia Commonwealth University	2009-02-16	738517.094
Virginia Commonwealth University	2010-03-22	324178.503
Virginia Commonwealth University	2014-09-16	505544.81
Virginia Commonwealth University	2007-08-19	1125.06
Virginia Commonwealth University	2005-07-11	94911.58
Virginia Commonwealth University	2010-02-18	220060.867
Virginia Commonwealth University	2012-01-16	6649.01
Virginia Commonwealth University	2011-08-12	196688.26
Virginia Commonwealth University	2013-08-06	1546752.98
Virginia Commonwealth University	2010-09-29	1926489.616
Virginia Commonwealth University	2012-03-23	1044253.31
Virginia Commonwealth University	2008-10-01	1218301.53
Virginia Commonwealth University	2010-04-06	879383.7216
Virginia Commonwealth University	2011-12-29	96.27
Virginia Commonwealth University	2006-10-03	1704496.906
Virginia Commonwealth University	2008-06-03	389892.38
Virginia Commonwealth University	2010-08-12	803468.62
Virginia Commonwealth University	2012-05-01	551516.9913
Virginia Commonwealth University	2005-11-09	579422.953
Virginia Commonwealth University	2010-01-19	722590.679
Virginia Commonwealth University	2010-06-16	421558.625
Virginia Commonwealth University	2014-06-19	19727357.8141
Virginia Commonwealth University	2009-11-05	565611.459
Virginia Commonwealth University	2009-07-09	2961874.7996
Virginia Commonwealth University	2014-05-04	201188.6254
Virginia Commonwealth University	2005-08-06	372128.9088
Virginia Commonwealth University	2009-04-18	387.94
Virginia Commonwealth University	2011-04-03	9852.22
Virginia Commonwealth University	2012-08-24	73112630.554
Virginia Commonwealth University	2009-10-03	364.7
Virginia Commonwealth University	2012-11-22	3178.57
Virginia Commonwealth University	2009-03-06	1042702.49
Virginia Commonwealth University	2011-04-24	1531.63
Virginia Commonwealth University	2006-07-08	124936.52
Virginia Commonwealth University	2008-10-10	100142.92
Virginia Commonwealth University	2014-01-27	797994.46
Virginia Commonwealth University	2009-04-24	173358.9444
Virginia Commonwealth University	2006-10-11	151331.1129
Virginia Commonwealth University	2012-09-18	239930.8993
Virginia Commonwealth University	2014-10-06	707175.39
Virginia Commonwealth University	2013-12-23	6858.9011
Virginia Commonwealth University	2008-09-03	449279.09
Virginia Commonwealth University	2013-01-29	191106.2363
Virginia Commonwealth University	2005-04-08	197.58
Virginia Commonwealth University	2014-05-13	1108108.9058
Virginia Commonwealth University	2009-08-29	10833.07
Virginia Commonwealth University	2010-03-01	240399.22
Virginia Commonwealth University	2007-12-14	381591.65
Virginia Commonwealth University	2005-07-25	2902.91
Virginia Commonwealth University	2006-10-06	718876.391
Virginia Commonwealth University	2008-04-24	453363.43
Virginia Commonwealth University	2007-01-10	1755880.344
Virginia Commonwealth University	2008-01-08	1237888.93
Virginia Commonwealth University	2006-12-11	235675.3016
Virginia Commonwealth University	2014-02-24	6042868.571
Virginia Commonwealth University	2013-12-11	881554.42
Virginia Commonwealth University	2014-08-26	426115.167
Virginia Commonwealth University	2011-07-19	572201.508
Virginia Commonwealth University	2013-09-03	317094.6901
Virginia Commonwealth University	2011-01-21	645175.04
Virginia Commonwealth University	2009-05-15	232208.15
Virginia Commonwealth University	2004-08-25	759.35
Virginia Commonwealth University	2008-10-18	1667.14
Virginia Commonwealth University	2006-08-13	6503.96
Virginia Commonwealth University	2012-06-07	1889882.2643
Virginia Commonwealth University	2012-01-17	232360.77
Virginia Commonwealth University	2006-05-08	24697.7
Virginia Commonwealth University	2010-12-15	296675.4403
Virginia Commonwealth University	2010-05-21	718998.83
Virginia Commonwealth University	2003-08-09	256.81
Virginia Commonwealth University	2010-02-04	290538.4038
Virginia Commonwealth University	2007-11-21	34948.4908
Virginia Commonwealth University	2010-08-27	272045.95
Virginia Commonwealth University	2013-12-17	649170.75
Virginia Commonwealth University	2014-04-22	406262.83
Virginia Commonwealth University	2011-07-23	2274.29
Virginia Commonwealth University	2011-10-24	704607.2478
Virginia Commonwealth University	2009-03-01	19964.296
Virginia Commonwealth University	2012-08-09	353988.5416
Virginia Commonwealth University	2013-08-16	172211.3399
Virginia Commonwealth University	2006-01-13	718139.663
Virginia Commonwealth University	2007-07-16	625290.58
Virginia Commonwealth University	2007-08-16	162351.92
Virginia Commonwealth University	2011-06-13	1962757.868
Virginia Commonwealth University	2014-05-26	21562.896
Virginia Commonwealth University	2010-04-23	380081.77
Virginia Commonwealth University	2009-03-22	3819.543
Virginia Commonwealth University	2005-12-03	377402.18
Virginia Commonwealth University	2014-07-22	1401411.47
Virginia Commonwealth University	2011-05-18	814888.18
Virginia Commonwealth University	2013-01-03	241083.52
Virginia Commonwealth University	2010-03-05	437149.33
Virginia Commonwealth University	2009-02-09	602588.737
Virginia Commonwealth University	2013-12-26	193.75
Virginia Commonwealth University	2011-09-09	253897.17
Virginia Commonwealth University	2009-02-04	1269538.254
Virginia Commonwealth University	2007-06-16	559.02
Virginia Commonwealth University	2007-10-15	1113525.752
Virginia Commonwealth University	2009-11-02	1524956.7662
Virginia Commonwealth University	2006-08-08	372389.501
Virginia Commonwealth University	2011-09-04	8159.46
Virginia Commonwealth University	2011-07-21	495599.69
Virginia Commonwealth University	2010-08-08	7367.03153
Virginia Commonwealth University	2013-02-05	572223.6053
Virginia Commonwealth University	2006-07-01	4592.91
Virginia Commonwealth University	2013-12-04	468035.797
Virginia Commonwealth University	2007-05-29	627928.522
Virginia Commonwealth University	2009-04-10	140813.71
Virginia Commonwealth University	2010-11-03	402985.8288
Virginia Commonwealth University	2006-07-11	386307.541
Virginia Commonwealth University	2007-03-13	457091.37
Virginia Commonwealth University	2014-10-19	38313.06
Virginia Commonwealth University	2006-08-26	750
Virginia Commonwealth University	2006-05-06	159644.08
Virginia Commonwealth University	2013-08-20	986220.81
Virginia Commonwealth University	2011-07-13	645637.49
Virginia Commonwealth University	2013-01-26	2762.57
Virginia Commonwealth University	2013-02-11	500819.33
Virginia Commonwealth University	2015-02-11	600849.6904
Virginia Commonwealth University	2011-11-23	305310.47
Virginia Commonwealth University	2014-11-25	845893.022
Virginia Commonwealth University	2010-06-17	419177.971
Virginia Commonwealth University	2006-10-02	176272.61
Virginia Commonwealth University	2009-12-04	1749869.1184
Virginia Commonwealth University	2006-09-28	105723.496
Virginia Commonwealth University	2012-01-24	378272.52
Virginia Commonwealth University	2008-08-20	180852.96
Virginia Commonwealth University	2010-10-25	241937.5443
Virginia Commonwealth University	2011-11-14	669724.1098
Virginia Commonwealth University	2009-01-22	630519.52
Virginia Commonwealth University	2013-04-27	896.44
Virginia Commonwealth University	2011-06-01	284005.1005
Virginia Commonwealth University	2006-03-10	802334.82
Virginia Commonwealth University	2010-07-27	2267926.31
Virginia Commonwealth University	2011-07-16	1495.55
Virginia Commonwealth University	2005-12-05	2615.88
Virginia Commonwealth University	2009-09-02	325318.757
Virginia Commonwealth University	2006-02-17	234653.583
Virginia Commonwealth University	2010-10-10	172931.07
Virginia Commonwealth University	2010-10-08	98442.17
Virginia Commonwealth University	2008-01-17	374324.3842
Virginia Commonwealth University	2014-09-24	337373.84
Virginia Commonwealth University	2009-01-19	20583.5814
Virginia Commonwealth University	2013-07-27	97.04
Virginia Commonwealth University	2005-07-05	20528
Virginia Commonwealth University	2010-03-13	2653.14
Virginia Commonwealth University	2013-07-08	820541.38
Virginia Commonwealth University	2012-04-19	296811.16
Virginia Commonwealth University	2008-02-20	931243.74
Virginia Commonwealth University	2013-09-16	209278.99
Virginia Commonwealth University	2014-06-25	598370.94
Virginia Commonwealth University	2011-12-09	196503.459
Virginia Commonwealth University	2015-03-31	1789159.535
Virginia Commonwealth University	2010-05-09	107016.9201
Virginia Commonwealth University	2015-04-06	465661.124
Virginia Commonwealth University	2014-04-02	372605.504
Virginia Commonwealth University	2011-03-26	8350.17
Virginia Commonwealth University	2010-09-19	95855.3695
Virginia Commonwealth University	2007-09-20	852908.68
Virginia Commonwealth University	2014-05-03	14449.94
Virginia Commonwealth University	2012-08-20	537834.2
Virginia Commonwealth University	2014-02-20	442217.49
Virginia Commonwealth University	2009-09-25	189809.27
Virginia Commonwealth University	2013-05-14	534601.681
Virginia Commonwealth University	2009-03-28	1422.06
Virginia Commonwealth University	2008-02-17	152.1
Virginia Commonwealth University	2012-10-06	1545.91
Virginia Commonwealth University	2012-12-14	548452.11
Virginia Commonwealth University	2012-06-11	1059278.357
Virginia Commonwealth University	2014-11-30	763.7286
Virginia Commonwealth University	2010-06-15	1016591.125
Virginia Commonwealth University	2012-11-11	8220.85
Virginia Commonwealth University	2010-03-12	313267.79
Virginia Commonwealth University	2013-05-26	1877.8708
Virginia Commonwealth University	2006-01-26	278522.89
Virginia Commonwealth University	2006-08-02	210797.04
Virginia Commonwealth University	2011-02-15	1379750.3802
Virginia Commonwealth University	2006-01-04	3548544.93
Virginia Commonwealth University	2013-08-13	1713218.37
Virginia Commonwealth University	2014-02-12	38118744.6944
Virginia Commonwealth University	2013-08-03	1289.6
Virginia Commonwealth University	2013-09-22	38314.6004
Virginia Commonwealth University	2013-07-02	635780.53
Virginia Commonwealth University	2011-10-30	5494.6
Virginia Commonwealth University	2009-04-08	294597.82
Virginia Commonwealth University	2007-04-10	405282.0944
Virginia Commonwealth University	2008-02-29	219639.3
Virginia Commonwealth University	2012-04-02	4677609.23
Virginia Commonwealth University	2011-05-25	305422.5
Virginia Commonwealth University	2006-08-19	1939.89
Virginia Commonwealth University	2011-06-24	1007614.13
Virginia Commonwealth University	2007-02-02	572085.23
Virginia Commonwealth University	2010-05-02	82865.871
Virginia Commonwealth University	2009-06-17	771707.889
Virginia Commonwealth University	2014-04-17	747868.087
Virginia Commonwealth University	2008-01-07	514011.46
Virginia Commonwealth University	2012-01-26	622382.164
Virginia Commonwealth University	2006-04-03	200
Virginia Commonwealth University	2010-03-20	21435.27
Virginia Commonwealth University	2010-10-03	24499.293
Virginia Commonwealth University	2008-05-27	614024.39
Virginia Commonwealth University	2008-06-13	637601.16
Virginia Commonwealth University	2011-06-04	5887.06
Virginia Commonwealth University	2006-02-01	980513.1
Virginia Commonwealth University	2014-07-20	442.08
Virginia Commonwealth University	2010-10-29	163088.58
Virginia Commonwealth University	2013-12-10	5916355.24
Virginia Commonwealth University	2014-03-25	32947354.211
Virginia Commonwealth University	2014-04-14	2310011.7043
Virginia Commonwealth University	2010-06-27	5062.315
Virginia Commonwealth University	2004-11-23	5
Virginia Commonwealth University	2005-10-13	954921.3724
Virginia Commonwealth University	2009-07-10	715395.67
Virginia Commonwealth University	2009-08-27	185989.43
Virginia Commonwealth University	2010-03-28	69753.211
Virginia Commonwealth University	2013-03-06	331072.02
Virginia Commonwealth University	2013-04-11	481029.59
Virginia Commonwealth University	2010-07-06	358367.1428
Virginia Commonwealth University	2011-03-18	722678.641
Virginia Commonwealth University	2007-11-20	476046.82
Virginia Commonwealth University	2007-10-09	585844.98
Virginia Commonwealth University	2006-02-15	799327.06
Virginia Commonwealth University	2013-03-23	774.81
Virginia Commonwealth University	2010-05-07	244905.53
Virginia Commonwealth University	2010-02-13	2228.63
Virginia Commonwealth University	2008-01-16	1484573.722
Virginia Commonwealth University	2004-11-09	561.854
Virginia Commonwealth University	2014-06-30	3609825.71
Virginia Commonwealth University	2014-09-25	340170.72
Virginia Commonwealth University	2007-12-12	528772.52
Virginia Commonwealth University	2013-02-21	389957.874
Virginia Commonwealth University	2008-10-06	353919.708
Virginia Commonwealth University	2008-12-13	1142.35
Virginia Commonwealth University	2004-10-05	34.7
Virginia Commonwealth University	2012-06-25	393948.85
Virginia Commonwealth University	2012-02-03	136963.49
Virginia Commonwealth University	2011-10-27	359414.69
Virginia Commonwealth University	2006-08-25	406488.937
Virginia Commonwealth University	2010-03-19	450239.67
Virginia Commonwealth University	2012-08-13	1039781.97
Virginia Commonwealth University	2013-05-27	1401.338
Virginia Commonwealth University	2013-12-08	4949.292
Virginia Commonwealth University	2007-02-21	145397.245
Virginia Commonwealth University	2009-10-20	218280.879
Virginia Commonwealth University	2012-06-23	155.81
Virginia Commonwealth University	2007-09-17	966042.99
Virginia Commonwealth University	2005-07-08	200295.105
Virginia Commonwealth University	2012-10-10	849727.796
Virginia Commonwealth University	2010-02-07	6381.15976
Virginia Commonwealth University	2009-06-10	734113.373
Virginia Commonwealth University	2015-01-15	6090703.59
Virginia Commonwealth University	2007-04-30	209596.19
Virginia Commonwealth University	2010-07-30	1544935.82
Virginia Commonwealth University	2011-04-05	409766.4613
Virginia Commonwealth University	2009-12-16	320683.09
Virginia Commonwealth University	2011-07-24	205992.9
Virginia Commonwealth University	2009-10-15	417079.091
Virginia Commonwealth University	2012-05-12	236.07
Virginia Commonwealth University	2005-12-07	827512.67
Virginia Commonwealth University	2009-05-08	1736336.21
Virginia Commonwealth University	2012-06-19	676977.978
Virginia Commonwealth University	2008-11-26	47998.15
Virginia Commonwealth University	2007-01-29	312706.325
Virginia Commonwealth University	2007-03-10	20186.04
Virginia Commonwealth University	2015-02-19	6212426.365
Virginia Commonwealth University	2011-10-08	98.15
Virginia Commonwealth University	2012-05-25	169449.94
Virginia Commonwealth University	2006-05-03	287673.18
Virginia Commonwealth University	2015-01-11	9166.12
Virginia Commonwealth University	2012-05-29	924264.502
Virginia Commonwealth University	2008-04-28	195951.16
Virginia Commonwealth University	2005-08-15	396
Virginia Commonwealth University	2006-02-21	191775.94
Virginia Commonwealth University	2012-07-26	1807694.78
Virginia Commonwealth University	2012-11-13	335097.37
Virginia Commonwealth University	2011-08-31	1387360.86
Virginia Commonwealth University	2007-07-27	294516.03
Virginia Commonwealth University	2007-10-07	1158
Virginia Commonwealth University	2008-07-16	448002.338
Virginia Commonwealth University	2010-03-10	472217.534
Virginia Commonwealth University	2010-09-16	210963.506
Virginia Commonwealth University	2008-01-31	424528.89
Virginia Commonwealth University	2008-03-10	363586.728
Virginia Commonwealth University	2009-11-03	214989.15
Virginia Commonwealth University	2012-12-06	1933312.2
Virginia Commonwealth University	2010-11-21	2639.29
Virginia Commonwealth University	2010-10-17	8296.69
Virginia Commonwealth University	2015-01-25	34375.6501
Virginia Commonwealth University	2010-02-05	130703.1566
Virginia Commonwealth University	2008-03-31	319319.608
Virginia Commonwealth University	2010-07-19	390118.7636
Virginia Commonwealth University	2013-06-18	3366928.01
Virginia Commonwealth University	2005-12-17	530908.77
Virginia Commonwealth University	2009-11-14	3822.71
Virginia Commonwealth University	2007-02-03	7634.28
Virginia Commonwealth University	2010-12-07	974411.2899
Virginia Commonwealth University	2008-10-03	434343.72
Virginia Commonwealth University	2014-11-16	94790.238
Virginia Commonwealth University	2009-08-11	1851880.699
Virginia Commonwealth University	2011-10-04	568865.1992
Virginia Commonwealth University	2005-08-09	175518.72
Virginia Commonwealth University	2010-07-18	80085.473
Virginia Commonwealth University	2006-03-20	454
Virginia Commonwealth University	2013-07-03	7043883.72
Virginia Commonwealth University	2007-04-03	502991.678
Virginia Commonwealth University	2011-03-03	1109499.858
Virginia Commonwealth University	2009-04-13	385479.4836
Virginia Commonwealth University	2013-10-04	160368.5
Virginia Commonwealth University	2010-01-30	738.28
Virginia Commonwealth University	2012-07-03	540200.68
Virginia Commonwealth University	2008-08-08	497061.585
Virginia Commonwealth University	2010-08-18	350815.912
Virginia Commonwealth University	2011-05-08	142611.5
Virginia Commonwealth University	2014-04-16	799415.59
Virginia Commonwealth University	2013-03-08	225638.45
Virginia Commonwealth University	2012-10-26	250411.9
Virginia Commonwealth University	2007-03-29	890900.301
Virginia Commonwealth University	2010-04-09	176041.2498
Virginia Commonwealth University	2006-12-22	1950
Virginia Commonwealth University	2006-04-24	3248.64
Virginia Commonwealth University	2007-02-18	231.25
Virginia Commonwealth University	2011-01-03	3441601.618
Virginia Commonwealth University	2013-09-24	352221.164
Virginia Commonwealth University	2012-11-10	327.43
Virginia Commonwealth University	2010-12-06	1439814.64
Virginia Commonwealth University	2015-01-13	266933.299
Virginia Commonwealth University	2009-09-03	2024828.2491
Virginia Commonwealth University	2010-08-04	374959.15
Virginia Commonwealth University	2007-04-16	538537.77
Virginia Commonwealth University	2005-10-04	251631.58
Virginia Commonwealth University	2009-12-17	600374.4
Virginia Commonwealth University	2009-07-16	1600262.45
Virginia Commonwealth University	2013-07-19	411623.86
Virginia Commonwealth University	2014-06-13	2508778.74
Virginia Commonwealth University	2009-06-05	431023.27
Virginia Commonwealth University	2012-06-08	511109.27
Virginia Commonwealth University	2006-04-14	498358.87
Virginia Commonwealth University	2013-04-08	375871.758
Virginia Commonwealth University	2005-10-07	2168327.65
Virginia Commonwealth University	2011-05-15	13199.174
Virginia Commonwealth University	2007-01-09	572635.56
Virginia Commonwealth University	2010-06-03	511299.017
Virginia Commonwealth University	2010-05-27	1033182.99
Virginia Commonwealth University	2010-05-17	322093.3032
Virginia Commonwealth University	2011-05-20	211229.27
Virginia Commonwealth University	2010-05-11	472953.058
Virginia Commonwealth University	2013-07-29	643934.91
Virginia Commonwealth University	2008-08-07	5148963.735
Virginia Commonwealth University	2013-01-27	13757.514
Virginia Commonwealth University	2010-05-04	1445569.879
Virginia Commonwealth University	2013-07-31	482970.593
Virginia Commonwealth University	2006-01-06	275473.434
Virginia Commonwealth University	2006-05-16	344460.596
Virginia Commonwealth University	2012-10-25	524840.42
Virginia Commonwealth University	2012-06-17	14285.719
Virginia Commonwealth University	2012-03-10	3388.2666
Virginia Commonwealth University	2014-10-12	6276.3044
Virginia Commonwealth University	2010-06-21	257492.999
Virginia Commonwealth University	2008-12-31	3836.87
Virginia Commonwealth University	2011-12-27	121503.56
Virginia Commonwealth University	2010-11-19	732821.84
Virginia Commonwealth University	2009-08-26	282721.6341
Virginia Commonwealth University	2006-02-18	187646.81
Virginia Commonwealth University	2005-08-19	227372.95
Virginia Commonwealth University	2011-04-13	290895.614
Virginia Commonwealth University	2008-02-21	539736.575
Virginia Commonwealth University	2014-02-10	283403.3698
Virginia Commonwealth University	2014-08-29	463592.458
Virginia Commonwealth University	2006-11-07	161484.106
Virginia Commonwealth University	2006-09-26	1175485.695
Virginia Commonwealth University	2011-12-17	2085.61
Virginia Commonwealth University	2013-05-31	4807282.88
Virginia Commonwealth University	2008-07-10	1329332.14
Virginia Commonwealth University	2007-11-08	521331.176
Virginia Commonwealth University	2008-05-23	710263.4
Virginia Commonwealth University	2009-08-03	278073.1321
Virginia Commonwealth University	2009-03-16	5861915.626
Virginia Commonwealth University	2013-12-05	421303.76
Virginia Commonwealth University	2014-04-18	4133142.445
Virginia Commonwealth University	2013-07-23	16477839.88
Virginia Commonwealth University	2012-06-16	2997.97
Virginia Commonwealth University	2012-12-07	193124.0925
Virginia Commonwealth University	2014-08-08	289247.03
Virginia Commonwealth University	2013-11-17	655.22
Virginia Commonwealth University	2007-04-19	259571.99
Virginia Commonwealth University	2008-09-16	601406.66
Virginia Commonwealth University	2006-03-16	134433.577
Virginia Commonwealth University	2008-07-25	142341.7312
Virginia Commonwealth University	2012-12-16	87956.707
Virginia Commonwealth University	2012-04-07	449.2
Virginia Commonwealth University	2006-10-21	2936.35
Virginia Commonwealth University	2008-04-13	3227.22
Virginia Commonwealth University	2010-03-25	325180.711
Virginia Commonwealth University	2013-02-04	464901.9071
Virginia Commonwealth University	2008-02-02	310.4
Virginia Commonwealth University	2009-03-31	601067.64
Virginia Commonwealth University	2013-12-14	1477.69
Virginia Commonwealth University	2010-07-16	177082.7246
Virginia Commonwealth University	2013-09-07	723
Virginia Commonwealth University	2006-02-24	322406.039
Virginia Commonwealth University	2010-12-02	411534.1894
Virginia Commonwealth University	2006-05-18	199247.888
Virginia Commonwealth University	2010-08-16	214076.34
Virginia Commonwealth University	2007-10-11	1893787.62
Virginia Commonwealth University	2010-10-18	453999.03
Virginia Commonwealth University	2011-06-09	395470.89
Virginia Commonwealth University	2014-08-07	565667.86
Virginia Commonwealth University	2011-05-06	1446296.93
Virginia Commonwealth University	2015-02-24	1082606.397
Virginia Commonwealth University	2008-05-17	559.96
Virginia Commonwealth University	2009-08-06	935528.3
Virginia Commonwealth University	2009-11-22	10023.6235
Virginia Commonwealth University	2011-10-28	344524.334
Virginia Commonwealth University	2013-09-09	262735.06
Virginia Commonwealth University	2007-10-04	448380.7
Virginia Commonwealth University	2006-01-12	738552.15
Virginia Commonwealth University	2007-05-21	436866.37
Virginia Commonwealth University	2011-07-27	320419.491
Virginia Commonwealth University	2008-10-08	368849.25
Virginia Commonwealth University	2009-07-08	578184.238
Virginia Commonwealth University	2013-10-17	929949.44
Virginia Commonwealth University	2014-01-22	313726.05
Virginia Commonwealth University	2013-10-24	950671.765
Virginia Commonwealth University	2005-10-20	345834.23
Virginia Commonwealth University	2008-07-30	279640.96
Virginia Commonwealth University	2013-01-25	300311.2
Virginia Commonwealth University	2014-02-23	16449.5693
Virginia Commonwealth University	2014-08-19	768093.6044
Virginia Commonwealth University	2008-04-21	516453.17
Virginia Commonwealth University	2012-11-07	378873.424
Virginia Commonwealth University	2008-05-07	459003.5
Virginia Commonwealth University	2005-07-13	369822.076
Virginia Commonwealth University	2007-06-13	726990.06
Virginia Commonwealth University	2005-09-30	214798.41
Virginia Commonwealth University	2012-06-10	56963.4
Virginia Commonwealth University	2013-05-12	227857.687
Virginia Commonwealth University	2015-01-26	787910.69
Virginia Commonwealth University	2012-09-04	308633.56
Virginia Commonwealth University	2007-11-18	639.99
Virginia Commonwealth University	2011-07-25	1988226.585
Virginia Commonwealth University	2005-08-22	6265
Virginia Commonwealth University	2006-05-15	9790
Virginia Commonwealth University	2010-01-28	235356.48
Virginia Commonwealth University	2005-12-15	394661.41
Virginia Commonwealth University	2010-01-27	373176.47
Virginia Commonwealth University	2009-11-10	826267.795
Virginia Commonwealth University	2008-09-24	4644831.47
Virginia Commonwealth University	2008-01-02	1199534.99
Virginia Commonwealth University	2006-09-22	215236.912
Virginia Commonwealth University	2010-07-22	267746.38
Virginia Commonwealth University	2012-03-24	385.59
Virginia Commonwealth University	2012-03-27	288063.7
Virginia Commonwealth University	2008-08-14	251722.1418
Virginia Commonwealth University	2009-07-19	6764.7
Virginia Commonwealth University	2011-09-13	454823.2432
Virginia Commonwealth University	2015-02-04	372803.3298
Virginia Commonwealth University	2014-10-09	575921.553
Virginia Commonwealth University	2013-10-18	124204.87
Virginia Commonwealth University	2008-10-27	244167.1
Virginia Commonwealth University	2009-10-11	7809.035
Virginia Commonwealth University	2013-10-28	294695.7246
Virginia Commonwealth University	2013-08-04	1405.92
Virginia Commonwealth University	2006-06-27	3835108.5
Virginia Commonwealth University	2006-11-26	1256.3
Virginia Commonwealth University	2010-01-05	868228.352
Virginia Commonwealth University	2010-06-23	650109.161
Virginia Commonwealth University	2013-02-08	407881.72
