agency	date	cost
Virginia Commonwealth University	2009-06-19	728215.03
Virginia Commonwealth University	2011-07-09	10125.06
Virginia Commonwealth University	2008-05-06	496460.55
Virginia Commonwealth University	2013-08-19	4253181.97
Virginia Commonwealth University	2009-08-15	276.87
Virginia Commonwealth University	2009-02-05	1209550.806
Virginia Commonwealth University	2012-04-26	903183.28
Virginia Commonwealth University	2006-01-25	474380.31
Virginia Commonwealth University	2013-12-31	185.63
Virginia Commonwealth University	2009-01-12	1653819.101
Virginia Commonwealth University	2005-09-20	328203.309
Virginia Commonwealth University	2010-03-23	593454.257
Virginia Commonwealth University	2009-09-10	582234.9852
Virginia Commonwealth University	2008-10-07	455403.5999
Virginia Commonwealth University	2008-03-03	376911.002
Virginia Commonwealth University	2009-05-04	704036.45
Virginia Commonwealth University	2012-08-12	17417.622
Virginia Commonwealth University	2011-03-13	414059.802
Virginia Commonwealth University	2005-11-17	935155.437
Virginia Commonwealth University	2014-06-03	1162427.1
Virginia Commonwealth University	2006-09-27	189051.2385
Virginia Commonwealth University	2014-06-05	1223892.765
Virginia Commonwealth University	2005-12-10	562798.07
Virginia Commonwealth University	2010-10-27	487757.4956
Virginia Commonwealth University	2014-04-10	407459.8315
Virginia Commonwealth University	2008-11-04	190734.4253
Virginia Commonwealth University	2011-09-23	723127.95
Virginia Commonwealth University	2009-02-22	59182.069
Virginia Commonwealth University	2010-06-22	210083.895
Virginia Commonwealth University	2010-01-07	228090.56
Virginia Commonwealth University	2013-08-23	1616601.49
Virginia Commonwealth University	2006-07-13	185232.115
Virginia Commonwealth University	2013-04-22	846520.13
Virginia Commonwealth University	2006-04-27	475903.32
Virginia Commonwealth University	2006-10-19	162971.313
Virginia Commonwealth University	2005-07-20	453425.592
Virginia Commonwealth University	2013-07-04	15786.4306
Virginia Commonwealth University	2014-01-25	1616.23
Virginia Commonwealth University	2007-05-25	609056.02
Virginia Commonwealth University	2014-02-22	1413.58
Virginia Commonwealth University	2011-02-07	229029.162
Virginia Commonwealth University	2013-07-25	387260.36
Virginia Commonwealth University	2009-11-18	193488.99
Virginia Commonwealth University	2011-08-14	11705.8825
Virginia Commonwealth University	2010-05-18	354290.401
Virginia Commonwealth University	2006-01-24	229941.102
Virginia Commonwealth University	2009-12-08	1322039.6277
Virginia Commonwealth University	2014-04-25	2289469.13
Virginia Commonwealth University	2009-12-21	41823.119
Virginia Commonwealth University	2006-10-09	214715.785
Virginia Commonwealth University	2008-02-18	190995.125
Virginia Commonwealth University	2009-09-23	571156.6
Virginia Commonwealth University	2015-02-16	2878416.635
Virginia Commonwealth University	2013-07-21	27773
Virginia Commonwealth University	2009-11-13	190519.041
Virginia Commonwealth University	2013-09-28	846.04
Virginia Commonwealth University	2012-06-06	2011814.654
Virginia Commonwealth University	2010-12-09	344569.8556
Virginia Commonwealth University	2007-07-20	547995.99
Virginia Commonwealth University	2008-08-06	666985.465
Virginia Commonwealth University	2013-01-23	416495.36
Virginia Commonwealth University	2007-02-16	163051.8496
Virginia Commonwealth University	2006-08-01	277492.585
City of Richmond Schools	2015-04-06	80100
Virginia Commonwealth University	2004-10-13	27.72
Virginia Commonwealth University	2006-03-30	569930.7
Virginia Commonwealth University	2004-12-07	691.39
Virginia Commonwealth University	2007-04-21	11964.79
Virginia Commonwealth University	2007-04-24	585699.7
Virginia Commonwealth University	2013-03-10	578576.07
Virginia Commonwealth University	2008-05-15	201950.51
Virginia Commonwealth University	2006-12-18	727393.358
Virginia Commonwealth University	2005-04-12	25.44
Virginia Commonwealth University	2006-11-29	299785.0976
Virginia Commonwealth University	2012-11-16	384788.22
Virginia Commonwealth University	2007-01-05	1076937.19
Virginia Commonwealth University	2007-02-20	228496.6
Virginia Commonwealth University	2014-05-06	992284.4794
Virginia Commonwealth University	2005-08-11	565063.91
Virginia Commonwealth University	2010-06-05	135.01
